,datetime,username,channel,message
147,2022-05-22T15:41:55.608536,gravi_23,#loltyler1,Tyler plays on weekends now?
148,2022-05-22T15:41:55.772893,rayzeeeh,#loltyler1,guys is it worth getting into league of legends ?
149,2022-05-22T15:41:55.773079,vivacelol,#loltyler1,!rank
150,2022-05-22T15:41:56.420935,brainlesseddie,#loltyler1,pogU
151,2022-05-22T15:41:57.069249,2tel_,#loltyler1,!opgg
152,2022-05-22T15:41:57.231293,rompsu,#loltyler1,NA CANT HANDLE KE
153,2022-05-22T15:41:57.231584,fossabot,#loltyler1,@2Tel_ https://www.op.gg/summoners/kr/BIG%20TONKA%20T
154,2022-05-22T15:41:57.232093,taav69,#loltyler1,!rank
155,2022-05-22T15:41:57.717127,ecrisio,#loltyler1,what elo ?
156,2022-05-22T15:41:57.964691,nisici,#loltyler1,KEKW
157,2022-05-22T15:41:58.126862,seandonp,#loltyler1,KEKW
158,2022-05-22T15:41:58.127459,ex0ttick,#loltyler1,PauseChamp PLAY ANOTHER ADC?
159,2022-05-22T15:41:58.289889,chaos_irl,#loltyler1,!rank
160,2022-05-22T15:41:59.264137,kastore997,#loltyler1,LULW
161,2022-05-22T15:41:59.588578,taepy,#loltyler1,KEKW
162,2022-05-22T15:41:59.750565,lyc5dshhh,#loltyler1,what are u fking doing?? why dont help ur teammates?
163,2022-05-22T15:42:00.074277,bazsa99,#loltyler1,KEKW
164,2022-05-22T15:42:00.074545,liloyster,#loltyler1,NA SILVER > KR MASTER KEKW
165,2022-05-22T15:42:00.074687,viliuxlt,#loltyler1,PTA Andy KEKW
166,2022-05-22T15:42:00.074823,pugmalone1,#loltyler1,GG FF
167,2022-05-22T15:42:00.074995,mistheerion,#loltyler1,KEKW
168,2022-05-22T15:42:00.236356,naikron,#loltyler1,KEKW
169,2022-05-22T15:42:00.236731,zach_xt,#loltyler1,OMEGALUL
170,2022-05-22T15:42:00.561354,pidhiii,#loltyler1,T1 BELONGS IN D1
171,2022-05-22T15:42:00.561623,ninosaur,#loltyler1,OMEGALUL
172,2022-05-22T15:42:00.886243,readthisandihitdab,#loltyler1,lay back and get carried dad
173,2022-05-22T15:42:01.048255,puffinsmoke,#loltyler1,KEKW
174,2022-05-22T15:42:01.048997,jerryfanboy,#loltyler1,KEKW
175,2022-05-22T15:42:01.211546,guts96,#loltyler1,OMEGALUL
176,2022-05-22T15:42:01.212340,ralozeyy,#loltyler1,KEKW
177,2022-05-22T15:42:01.373840,rome_9,#loltyler1,XDDD
178,2022-05-22T15:42:01.373994,rlagusgh1415,#loltyler1,NA challaner = KR master
179,2022-05-22T15:42:01.536351,astesia__,#loltyler1,KEKW
180,2022-05-22T15:42:01.536578,electricrelaxation,#loltyler1,KEKHeim KEKHeim KEKHeim
181,2022-05-22T15:42:01.698144,haruiswaifu,#loltyler1,KEKW 󠀀
182,2022-05-22T15:42:01.698287,clarencem8,#loltyler1,leona lvl 9
183,2022-05-22T15:42:02.022606,sickdime,#loltyler1,NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW
184,2022-05-22T15:42:02.185714,theda13,#loltyler1,keep up the good mental
185,2022-05-22T15:42:02.185894,crushotm,#loltyler1,KEKW
186,2022-05-22T15:42:02.186034,earlnumz,#loltyler1,BAD
187,2022-05-22T15:42:02.509631,goggleplayz,#loltyler1,KEKW
188,2022-05-22T15:42:02.509790,prudydorsett,#loltyler1,OMEGALUL 󠀀
189,2022-05-22T15:42:02.509929,ioixdd,#loltyler1,KEKW
190,2022-05-22T15:42:02.671580,pexelie,#loltyler1,POPPY MORE LIKE POOPY XD KEKW
191,2022-05-22T15:42:02.834349,sashingrimreaper,#loltyler1,ofc EU & NA > KR
192,2022-05-22T15:42:02.997496,mangosmoody,#loltyler1,lmfao
193,2022-05-22T15:42:03.161482,lpegue_lo,#loltyler1,XD
194,2022-05-22T15:42:03.324027,doomdaey,#loltyler1,very useful
195,2022-05-22T15:42:03.486639,yeeunclc,#loltyler1,OMEGALUL
196,2022-05-22T15:42:03.810977,parvustitum,#loltyler1,Sadge
197,2022-05-22T15:42:03.811222,ggand2,#loltyler1,KEKW
198,2022-05-22T15:42:03.811362,ilikelilac,#loltyler1,KEKW
199,2022-05-22T15:42:03.973201,areatangens,#loltyler1,KEKW
200,2022-05-22T15:42:04.135362,oxidem4a4,#loltyler1,Sadge
201,2022-05-22T15:42:04.297016,hausdurchsuchung,#loltyler1,RUN IT DOWN MID OMEGALUL
202,2022-05-22T15:42:04.459105,pojq,#loltyler1,LUL
203,2022-05-22T15:42:04.621338,bosscrab,#loltyler1,KEKW
