,datetime,username,channel,message
101,2022-05-22T13:21:18.860104,nikhil9t7,#gothamchess,It's a Trompowsky
102,2022-05-22T13:21:21.917469,vitusverden,#gothamchess,@acky9413 it's wordle but chess
103,2022-05-22T13:21:27.405821,linusfeet,#gothamchess,i think london
104,2022-05-22T13:21:30.099940,imeanhi_,#gothamchess,@Rengaw87 yeah the third move for black got me as well
105,2022-05-22T13:21:32.102175,iam_arya,#gothamchess,29% got it today lmao
106,2022-05-22T13:21:32.429278,riccgava,#gothamchess,"@tsackman good, get a doctor"
107,2022-05-22T13:21:34.634908,giannydagranny,#gothamchess,d4 is earlier
108,2022-05-22T13:21:34.798432,thebarlyy,#gothamchess,can't be a london
109,2022-05-22T13:21:36.897298,pepegachessplayer,#gothamchess,Bro this one is mad weird
110,2022-05-22T13:21:39.911653,fornikev,#gothamchess,d4-d5
111,2022-05-22T13:21:41.920635,dabestatchess,#gothamchess,THIS CHESSLE IMPOSSIBLE
112,2022-05-22T13:21:47.287738,kaese111,#gothamchess,d4 d6 e4 c5
113,2022-05-22T13:21:47.288033,dragonfishlive,#gothamchess,QUEENS PAWN
114,2022-05-22T13:21:47.288383,acky9413,#gothamchess,"@acky9413 ahhh, thanks"
115,2022-05-22T13:21:52.030229,tsackman,#gothamchess,@RiccGava I am actually color blind lol
116,2022-05-22T13:21:56.956775,yorai26,#gothamchess,It’s the bongcloud
117,2022-05-22T13:21:56.957219,bentblokland,#gothamchess,you dont bave e3
118,2022-05-22T13:21:57.120411,moobot,#gothamchess,"I have 9 Courses, you can find them here: https://www.gotham-chess.com/courses"
119,2022-05-22T13:21:57.284018,nic_0ogi,#gothamchess,Hi yt
120,2022-05-22T13:22:02.149753,a_bit_washed,#gothamchess,@GothamChess I can see why this opening in particular is confusing KEKW
121,2022-05-22T13:22:07.428927,rengaw87,#gothamchess,@Imeanhi_ i cant figure out either colour's 3rd move... have the rest tho
122,2022-05-22T13:22:07.681581,itsdoublew,#gothamchess,some sort of gambit perhaps
123,2022-05-22T13:22:10.773215,mr_sizi,#gothamchess,HI YT Kappa
124,2022-05-22T13:22:11.388484,pepegachessplayer,#gothamchess,OH now I know why I struggled with this one LMAO
125,2022-05-22T13:22:15.406536,thebarlyy,#gothamchess,maybe like d4 bg5 bg4? a torre? a trompowsky?
126,2022-05-22T13:22:16.853048,amarillogriffin,#gothamchess,does he realize he gets 6 tries? feels like he needs to get it instantly LUL
127,2022-05-22T13:22:17.110499,kechub,#gothamchess,D4 d5 nf3 nf6
128,2022-05-22T13:22:20.268023,napnop,#gothamchess,bg5
129,2022-05-22T13:22:25.287812,nikhil9t7,#gothamchess,it's definitely a Trompowsky
130,2022-05-22T13:22:27.242545,flamouri,#gothamchess,London?
131,2022-05-22T13:22:33.103239,nuclearaven,#gothamchess,he wants to solve it in 2
132,2022-05-22T13:22:33.594058,nathan_johndeere,#gothamchess,its prob torre
133,2022-05-22T13:22:37.381680,denkaaaaan,#gothamchess,@AmarilloGriffin thats the goal
134,2022-05-22T13:22:42.553971,sinocchi50,#gothamchess,D:
135,2022-05-22T13:22:43.260712,nikhil9t7,#gothamchess,qb2
136,2022-05-22T13:22:47.426088,nikhil9t7,#gothamchess,qb6*
137,2022-05-22T13:22:57.078995,uriyeobi,#gothamchess,"I JUST DID IT! iTS D4, D5,"
138,2022-05-22T13:23:01.779106,drock8082,#gothamchess,how do you play this game exactly
139,2022-05-22T13:23:01.942582,riccgava,#gothamchess,@tsackman so? depending on the type you'll get special glasses and you might recognize green color
140,2022-05-22T13:23:02.269890,gugabxd,#gothamchess,@AmarilloGriffin the least tries you get it in the more of a gamer you are
141,2022-05-22T13:23:02.793802,pepegachessplayer,#gothamchess,Pog
142,2022-05-22T13:23:05.840323,goatedlad19,#gothamchess,queen b6
